,MAE,MSE,RMSE,R2,set,modelo
0,26.856252702977347,1658.8735859111114,40.72927185589145,0.4478244320671627,test,Linear Regresion
1,28.28642821808599,1668.3988553118472,40.84603842861444,0.4161697816879527,train,Linear Regresion
0,30.083752093802342,2590.1007816862084,50.89303274207785,0.13785451629494871,test,Decision Tree I
1,2.0875420875420874,142.29713804713805,11.928836407929234,0.9502053307536513,train,Decision Tree I
0,29.802504904788,1907.773407855917,43.67806552327973,0.3649752012951445,test,Decision tree II
1,28.440459933772615,1680.332827646681,40.99186294432934,0.41199367376783935,train,Decision tree II
0,27.480804394838405,1777.305430747866,42.1581004167392,0.4084030007179189,test,Random Forest I
1,27.522960383350064,1632.0109824348392,40.398155681105536,0.428903151588116,train,Random Forest I
0,25.230080314084773,1448.135059593757,38.05436978316363,0.5179712271230998,test,Random Forest II
1,20.166362415074392,925.2485527141214,30.417898558482328,0.6762236662988943,train,Random Forest II
